Abbreviation,OfficialName,"Equation (note [c] and [e] at the beginning refer to the compartment the reaction takes place in, cytosolic and extracellular respectively)",Subsystem,ProteinClassDescription,Ref. (listed below),,,
SUCBZS,O-succinylbenzoate-CoA synthase,[c]2shchc --> h2o + sucbz,Cofactor and Prosthetic Group Biosynthesis,,,,,
OXGDC2,2-oxoglutarate decarboxylase,[c]akg + h + thmpp --> co2 + ssaltpp,Cofactor and Prosthetic Group Biosynthesis,EC-4.1.1.71,,,,
SHCHCS2,"2-succinyl-6-hydroxy-2,4-cyclohexadiene 1-carboxylate synthase",[c]ichor + ssaltpp --> 2shchc + pyr + thmpp,Cofactor and Prosthetic Group Biosynthesis,,,,,
SUCBZL,o-succinylbenzoate-CoA ligase,[c]atp + coa + sucbz --> amp + ppi + sbzcoa,Cofactor and Prosthetic Group Biosynthesis,EC-6.2.1.26,,,,
ICHORSi,Isochorismate Synthase,[c]chor --> ichor,Cofactor and Prosthetic Group Biosynthesis,,,,,
AMMQT8_2,S-adenosylmethione:2-demethylmenaquinone methyltransferase,[c]2dmmq8 + amet --> ahcys + h + mqn8,Cofactor and Prosthetic Group Biosynthesis,,,,,
QULNS,quinolinate synthase,[c]dhap + iasp --> h + (2) h2o + pi + quln,Cofactor and Prosthetic Group Biosynthesis,,,,,
ASPO3,L-aspartate oxidase,[c]asp-L + q8 --> iasp + q8h2,Cofactor and Prosthetic Group Biosynthesis,,,,,
ASPO4,L-aspartate oxidase,[c]asp-L + mqn8 --> iasp + mql8,Cofactor and Prosthetic Group Biosynthesis,,,,,
ASPO5,L-aspartate oxidase,[c]asp-L + fum --> iasp + succ,Cofactor and Prosthetic Group Biosynthesis,,,,,
ASPO6,L-aspartate oxidase,[c]asp-L + o2 --> h2o2 + iasp,Cofactor and Prosthetic Group Biosynthesis,,,,,
NNDPR,nicotinate-nucleotide diphosphorylase (carboxylating),[c](2) h + prpp + quln --> co2 + nicrnt + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-2.4.2.19,,,,
NNAT,nicotinate-nucleotide adenylyltransferase,[c]atp + h + nicrnt --> dnad + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.7.18,,,,
NMNAT,nicotinamide-nucleotide adenylyltransferase,[c]atp + h + nmn --> nad + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.7.1,,,,
NADS1,NAD synthase (nh3),[c]atp + dnad + nh4 --> amp + h + nad + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-6.3.1.5,,,,
DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,[c]ahdt + h2o --> dhpmp + h + ppi,Cofactor and Prosthetic Group Biosynthesis,,,,,
ADCS,4-amino-4-deoxychorismate synthase,[c]chor + gln-L --> 4adcho + glu-L,Cofactor and Prosthetic Group Biosynthesis,,,,,
ADCL,4-aminobenzoate synthase,[c]4adcho --> 4abz + h + pyr,Cofactor and Prosthetic Group Biosynthesis,,,,,
MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,[c]3mob + h2o + mlthf --> 2dhp + thf,Cofactor and Prosthetic Group Biosynthesis,EC-2.1.2.11,,,,
PANTS,pantothenate synthase,[c]ala-B + atp + pant-R --> amp + h + pnto-R + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-6.3.2.1,,,,
ASP1DC,aspartate 1-decarboxylase,[c]asp-L + h --> ala-B + co2,Cofactor and Prosthetic Group Biosynthesis,EC-4.1.1.11,,,,
DPR,2-dehydropantoate 2-reductase,[c]2dhp + h + nadph --> nadp + pant-R,Cofactor and Prosthetic Group Biosynthesis,EC-1.1.1.169,,,,
PDX5PS,Pyridoxine 5'-phosphate synthase,[c]dxyl5p + nad + phthr --> co2 + h + (2) h2o + nadh + pdx5p + pi,Cofactor and Prosthetic Group Biosynthesis,,,,,
PERD,Erythronate 4-phosphate (4per) dehydrogenase,[c]4per + nad <==> h + nadh + ohpb,Cofactor and Prosthetic Group Biosynthesis,,,,,
PDX5PO,pyridoxine 5'-phosphate oxidase,[c]o2 + pdx5p <==> h2o2 + pydx5p,Cofactor and Prosthetic Group Biosynthesis,EC-1.4.3.5,124,,,
PYAM5PO,pyridoxamine 5'-phosphate oxidase,[c]h2o + o2 + pyam5p --> h2o2 + nh4 + pydx5p,Cofactor and Prosthetic Group Biosynthesis,EC-1.4.3.5,124,,,
PYDXNK,pyridoxine kinase,[c]atp + pydxn --> adp + h + pdx5p,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.1.35,,,,
PYDAMK,pyridoxamine kinase,[c]atp + pydam --> adp + h + pyam5p,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.1.35,,,,
PYDXK,pyridoxal kinase,[c]atp + pydx --> adp + h + pydx5p,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.1.35,118,,,
RZ5PP,alpha-ribazole 5-phosphate phosphatase,[c]5prdmbz + h2o --> pi + rdmbzi,Cofactor and Prosthetic Group Biosynthesis,,133,,,
NNAM,nicotinamidase,[c]h2o + ncam --> nac + nh4,Cofactor and Prosthetic Group Biosynthesis,EC-3.5.1.19,,,,
NAMNPP,nicotinic acid mononucleotide pyrophosphorylase,[c]atp + h2o + nac + prpp --> adp + nicrnt + pi + ppi,Cofactor and Prosthetic Group Biosynthesis,,,,,
GTPCII2,GTP cyclohydrolase II (25drapp),[c]gtp + (3) h2o --> 25drapp + for + (2) h + ppi,Cofactor and Prosthetic Group Biosynthesis,,,,,
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate",[c]ru5p-D --> db4p + for + h,Cofactor and Prosthetic Group Biosynthesis,,,,,
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,[c]5apru + h + nadph --> 5aprbu + nadp,Cofactor and Prosthetic Group Biosynthesis,EC-1.1.1.193,,,,
DHPPDA2,diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp),[c]25drapp + h + h2o --> 5apru + nh4,Cofactor and Prosthetic Group Biosynthesis,EC-3.5.4.26,,,,
RBFSa,riboflavin synthase,[c]4r5au + db4p --> dmlz + (2) h2o + pi,Cofactor and Prosthetic Group Biosynthesis,EC-2.5.1.9,,,,
RBFK,riboflavin kinase,[c]atp + ribflv --> adp + fmn + h,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.1.26,,,,
FMNAT,FMN adenylyltransferase,[c]atp + fmn + h --> fad + ppi,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.7.2,,,,
RBFSb,riboflavin synthase,[c](2) dmlz --> 4r5au + ribflv,Cofactor and Prosthetic Group Biosynthesis,EC-2.5.1.9,,,,
OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,[c]glu-L + ohpb <==> akg + phthr,Cofactor and Prosthetic Group Biosynthesis,EC-2.6.1.52,,,,
AMPMS,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase,[c]air + h2o --> 4ampm + (2) for + (4) h,Cofactor and Prosthetic Group Biosynthesis,,,,,
PMPK,phosphomethylpyrimidine kinase,[c]4ampm + atp --> 2mahmp + adp,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.4.7,,,,
HMPK1,hydroxymethylpyrimidine kinase (ATP),[c]4ahmmp + atp --> 4ampm + adp + h,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.1.49,,,,
TMPPP,thiamine-phosphate diphosphorylase,[c]2mahmp + 4mpetz + h --> ppi + thmmp,Cofactor and Prosthetic Group Biosynthesis,EC-2.5.1.3,,,,
TMPKr,thiamine-phosphate kinase,[c]atp + thmmp <==> adp + thmpp,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.4.16,,,,
HETZK,hydroxyethylthiazole kinase,[c]4mhetz + atp --> 4mpetz + adp + h,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.1.50,,,,
THZPSN,thiazole phosphate synthesis,[c]atp + cys-L + dxyl5p + tyr-L --> 4hba + 4mpetz + ala-L + amp + co2 + h + h2o + ppi,Cofactor and Prosthetic Group Biosynthesis,,"6,66",,,
4HTHRS,4-Hydroxy-L-threonine synthase,[c]h2o + phthr --> 4hthr + pi,Cofactor and Prosthetic Group Biosynthesis,,,,,
HBZOPT,Hydroxybenzoate octaprenyltransferase,[c]4hbz + octdp --> 3ophb + ppi,Cofactor and Prosthetic Group Biosynthesis,,,,,
OPHHX,2-Octaprenylphenol hydroxylase,[c]2oph + (0.5) o2 --> 2ohph,Cofactor and Prosthetic Group Biosynthesis,,,,,
CHRPL,Chorismate pyruvate lyase,[c]chor --> 4hbz + pyr,Cofactor and Prosthetic Group Biosynthesis,,,,,
OPHBDC,Octaprenyl-hydroxybenzoate decarboxylase,[c]3ophb + h --> 2oph + co2,Cofactor and Prosthetic Group Biosynthesis,,,,,
OMBZLM,2-Octaprenyl-6-methoxy-benzoquinol methylase,[c]2ombzl + amet --> 2ommbl + ahcys + h,Cofactor and Prosthetic Group Biosynthesis,,,,,
OMMBLHX,"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",[c]2ommbl + (0.5) o2 --> 2omhmbl,Cofactor and Prosthetic Group Biosynthesis,,,,,
OHPHM,2-octaprenyl-6-hydroxyphenol methylase,[c]2ohph + amet --> 2omph + ahcys + h,Cofactor and Prosthetic Group Biosynthesis,,86,,,
DMQMT,3-Dimethylubiquinonol 3-methyltransferase,[c]2omhmbl + amet --> ahcys + h + q8h2,Cofactor and Prosthetic Group Biosynthesis,,,,,
OMPHHX,2-octaprenyl-6-methoxyphenol hydroxylase,[c]2omph + (0.5) o2 --> 2ombzl,Cofactor and Prosthetic Group Biosynthesis,,,,,
UDCPDPS,Undecaprenyl diphosphate synthase,[c]frdp + (8) ipdp --> (8) ppi + udcpdp,Cofactor and Prosthetic Group Biosynthesis,,,,,
DXYLK,1-Deoxy-D-xylulose kinase,[c]atp + dxyl --> adp + dxyl5p + h,Cofactor and Prosthetic Group Biosynthesis,,116,,,
NADK,NAD kinase,[c]atp + nad --> adp + h + nadp,Cofactor and Prosthetic Group Biosynthesis,EC-2.7.1.23,60,,,
BPNT,"3',5'-bisphosphate nucleotidase",[c]h2o + pap --> amp + pi,Cysteine Metabolism,EC-3.1.3.7,,,,
ADSK,adenylyl-sulfate kinase,[c]aps + atp --> adp + h + paps,Cysteine Metabolism,EC-2.7.1.25,,,,
SADT2,Sulfate adenyltransferase,[c]atp + gtp + h2o + so4 --> aps + gdp + pi + ppi,Cysteine Metabolism,,114,,,
SERAT,serine O-acetyltransferase,[c]accoa + ser-L <==> acser + coa,Cysteine Metabolism,EC-2.3.1.30,,,,
PAPSR,phosphoadenylyl-sulfate reductase (thioredoxin),[c]paps + trdrd --> (2) h + pap + so3 + trdox,Cysteine Metabolism,EC-1.8.4.8,,,,
SULR,sulfite reductase (NADPH2),[c](3) h2o + h2s + (3) nadp <==> (5) h + (3) nadph + so3,Cysteine Metabolism,EC-1.8.2.2,,,,
CYSS,cysteine synthase,[c]acser + h2s --> ac + cys-L + h,Cysteine Metabolism,EC-4.2.99.8,,,,
TRPAS1,Tryptophanase (L-cysteine),[c]cys-L + h2o --> h2s + nh4 + pyr,Cysteine Metabolism,EC-4.1.99.1,,,,
GCALDD,Glycolaldehyde dehydrogenase,[c]gcald + h2o + nad --> glyclt + (2) h + nadh,Folate Metabolism,EC-1.2.1.21,"58,68",,,
MTHFC,methenyltetrahydrofolate cyclohydrolase,[c]h2o + methf <==> 10fthf,Folate Metabolism,EC-3.5.4.9,,,,
MTHFD,methylenetetrahydrofolate dehydrogenase (NADP),[c]mlthf + nadp <==> h + methf + nadph,Folate Metabolism,EC-1.5.1.5,,,,
GLYCL,Glycine Cleavage System,[c]gly + nad + thf --> co2 + mlthf + nadh + nh4,Folate Metabolism,,30,,,
MTHFR2,"5,10-methylenetetrahydrofolate reductase (NADH)",[c]h + mlthf + nadh --> 5mthf + nad,Folate Metabolism,,,,,
FTHFD,formyltetrahydrofolate deformylase,[c]10fthf + h2o --> for + h + thf,Folate Metabolism,EC-3.5.1.10,,,,
GLUDC,Glutamate Decarboxylase,[c]glu-L + h --> 4abut + co2,Glutamate metabolism,EC-4.1.1.15,,,,
GLUDy,glutamate dehydrogenase (NADP),[c]glu-L + h2o + nadp <==> akg + h + nadph + nh4,Glutamate metabolism,EC-1.4.1.4,,,,
GLNS,glutamine synthetase,[c]atp + glu-L + nh4 --> adp + gln-L + h + pi,Glutamate metabolism,EC-6.3.1.2,,,,
GLUSy,glutamate synthase (NADPH),[c]akg + gln-L + h + nadph --> (2) glu-L + nadp,Glutamate metabolism,EC-1.4.1.13,,,,
GLUN,glutaminase,[c]gln-L + h2o --> glu-L + nh4,Glutamate metabolism,EC-3.5.1.2,131,,,
SERD_D,D-serine deaminase,[c]ser-D --> nh4 + pyr,Glycine and Serine Metabolism,,,,,
GHMT2,glycine hydroxymethyltransferase,[c]ser-L + thf --> gly + h2o + mlthf,Glycine and Serine Metabolism,EC-2.1.2.1,,,,
GLYATi,glycine C-acetyltransferase (irreversible),[c]2aobut + coa --> accoa + gly,Glycine and Serine Metabolism,EC-2.3.1.29,,,,
PGCD,phosphoglycerate dehydrogenase,[c]3pg + nad --> 3php + h + nadh,Glycine and Serine Metabolism,EC-1.1.1.95,,,,
PSP_L,phosphoserine phosphatase (L-serine),[c]h2o + pser-L --> pi + ser-L,Glycine and Serine Metabolism,EC-3.1.3.3,,,,
PSERT,phosphoserine transaminase,[c]3php + glu-L --> akg + pser-L,Glycine and Serine Metabolism,EC-2.6.1.52,,,,
SERD_L,L-serine deaminase,[c]ser-L --> nh4 + pyr,Glycine and Serine Metabolism,EC-Undetermined,,,,
THRD,L-threonine dehydrogenase,[c]nad + thr-L --> 2aobut + h + nadh,Glycine and Serine Metabolism,EC-1.1.1.103,,,,
PDH,pyruvate dehydrogenase,[c]coa + nad + pyr --> accoa + co2 + nadh,Glycolysis/Gluconeogenesis,,,,,
G1PP,Glucose-1-phosphatase,[c]g1p + h2o --> glc-D + pi,Glycolysis/Gluconeogenesis,EC-3.1.3.10,,,,
ENO,enolase,[c]2pg <==> h2o + pep,Glycolysis/Gluconeogenesis,EC-4.2.1.11,,,,
FBA,fructose-bisphosphate aldolase,[c]fdp <==> dhap + g3p,Glycolysis/Gluconeogenesis,EC-4.1.2.13,107,,,
FBP,fructose-bisphosphatase,[c]fdp + h2o --> f6p + pi,Glycolysis/Gluconeogenesis,EC-3.1.3.11,,,,
F6PA,fructose 6-phosphate aldolase,[c]f6p <==> dha + g3p,Glycolysis/Gluconeogenesis,,100,,,
GAPD,glyceraldehyde-3-phosphate dehydrogenase,[c]g3p + nad + pi <==> 13dpg + h + nadh,Glycolysis/Gluconeogenesis,EC-1.2.1.12,,,,
GLCS1,glycogen synthase (ADPGlc),[c]adpglc --> adp + glycogen + h,Glycolysis/Gluconeogenesis,EC-2.4.1.21,,,,
GLGC,glucose-1-phosphate adenylyltransferase,[c]atp + g1p + h --> adpglc + ppi,Glycolysis/Gluconeogenesis,EC-2.7.7.27,,,,
GLCP,glycogen phosphorylase,[c]glycogen + pi --> g1p,Glycolysis/Gluconeogenesis,EC-2.4.1.1,,,,
HEX1,hexokinase (D-glucose:ATP),[c]atp + glc-D --> adp + g6p + h,Glycolysis/Gluconeogenesis,EC-2.7.1.1,,,,
PGM,phosphoglycerate mutase,[c]2pg <==> 3pg,Glycolysis/Gluconeogenesis,EC-5.4.2.1,34,,,
PFK,phosphofructokinase,[c]atp + f6p --> adp + fdp + h,Glycolysis/Gluconeogenesis,EC-2.7.1.11,,,,
PGI,glucose-6-phosphate isomerase,[c]g6p <==> f6p,Glycolysis/Gluconeogenesis,EC-5.3.1.9,,,,
PGK,phosphoglycerate kinase,[c]3pg + atp <==> 13dpg + adp,Glycolysis/Gluconeogenesis,EC-2.7.2.3,,,,
PPS,phosphoenolpyruvate synthase,[c]atp + h2o + pyr --> amp + (2) h + pep + pi,Glycolysis/Gluconeogenesis,EC-2.7.9.2,,,,
PYK,pyruvate kinase,[c]adp + h + pep --> atp + pyr,Glycolysis/Gluconeogenesis,EC-2.7.1.40,,,,
TPI,triose-phosphate isomerase,[c]dhap <==> g3p,Glycolysis/Gluconeogenesis,EC-5.3.1.1,,,,
TRSAR,tartronate semialdehyde reductase,[c]2h3oppan + h + nadh --> glyc-R + nad,Glyoxylate Metabolism,EC-1.1.1.60,"51,129",,,
GLXCL,glyoxalate carboligase,[c](2) glx + h --> 2h3oppan + co2,Glyoxylate Metabolism,EC-4.1.1.47,129,,,
GLYCK,glycerate kinase,[c]atp + glyc-R --> 3pg + adp + h,Glyoxylate Metabolism,EC-2.7.1.31,"51,129",,,
GLYCLTDy,Glycolate dehydrogenase (NADP),[c]glx + h + nadph --> glyclt + nadp,Glyoxylate Metabolism,,77,,,
GLYCLTDx,Glycolate dehydrogenase (NAD),[c]glx + h + nadh --> glyclt + nad,Glyoxylate Metabolism,,77,,,
PRMICIi,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase (irreversible),[c]prfp --> prlp,Histidine Metabolism,EC-5.3.1.16,,,,
IGPDH,imidazoleglycerol-phosphate dehydratase,[c]eig3p --> h2o + imacp,Histidine Metabolism,EC-4.2.1.19,,,,
HISTP,histidinol-phosphatase,[c]h2o + hisp --> histd + pi,Histidine Metabolism,EC-3.1.3.15,,,,
HSTPT,histidinol-phosphate transaminase,[c]glu-L + imacp --> akg + hisp,Histidine Metabolism,EC-2.6.1.9,,,,
HISTD,histidinol dehydrogenase,[c]h2o + histd + (2) nad --> (3) h + his-L + (2) nadh,Histidine Metabolism,EC-1.1.1.23,,,,
IG3PS,Imidazole-glycerol-3-phosphate synthase,[c]gln-L + prlp --> aicar + eig3p + glu-L + h,Histidine Metabolism,,,,,
ATPPRT,ATP phosphoribosyltransferase,[c]atp + prpp --> ppi + prbatp,Histidine Metabolism,EC-2.4.2.17,,,,
PRATPP,phosphoribosyl-ATP pyrophosphatase,[c]h2o + prbatp --> h + ppi + prbamp,Histidine Metabolism,EC-3.6.1.31,,,,
PRAMPC,phosphoribosyl-AMP cyclohydrolase,[c]h2o + prbamp --> prfp,Histidine Metabolism,EC-3.5.4.19,,,,
PRPPS,phosphoribosylpyrophosphate synthetase,[c]atp + r5p <==> amp + h + prpp,Histidine Metabolism,EC-2.7.6.1,,,,
ACCOACr,"acetyl-CoA carboxylate, reversible reaction",[c]accoa + atp + hco3 <==> adp + h + malcoa + pi,Membrane Lipid Metabolism,EC-6.4.1.2,,,,
ACACT1r,acetyl-CoA C-acetyltransferase,[c](2) accoa <==> aacoa + coa,Membrane Lipid Metabolism,EC-2.3.1.9,,,,
CDAPPA_EC,CDP-Diacylglycerol pyrophostatase (Ecoli),[c](0.02) cdpdag1 + h2o --> cmp + (2) h + (0.02) pa_EC,Membrane Lipid Metabolism,EC-3.6.1.26,,,,
DASYN_EC,CDP-Diacylglycerol synthetase (Ecoli),[c]ctp + h + (0.02) pa_EC <==> (0.02) cdpdag1 + ppi,Membrane Lipid Metabolism,EC-2.7.7.41,,,,
CLPNS_EC,Cardiolipin Synthase (E.coli),[c](0.04) pg_EC <==> (0.02) clpn_EC + glyc,Membrane Lipid Metabolism,,,,,
C140SN,Fatty acid biosynthesis (n-C14:0),[c]actACP + (17) h + (5) malACP + (12) nadph --> (5) ACP + (5) co2 + (6) h2o + myrsACP + (12) nadp,Membrane Lipid Metabolism,,"44,131",,,
C120SN,Fatty acid biosynthesis (n-C12:0),[c]actACP + (14) h + (4) malACP + (10) nadph --> (4) ACP + (4) co2 + ddcaACP + (5) h2o + (10) nadp,Membrane Lipid Metabolism,,"44,130",,,
MACPD,Malonyl-ACP decarboxylase,[c]h + malACP --> acACP + co2,Membrane Lipid Metabolism,,,,,
KAS14,b-ketoacyl synthase,[c]acACP + h + malACP --> ACP + actACP + co2,Membrane Lipid Metabolism,,,,,
MCOATA,Malonyl-CoA-ACP transacylase,[c]ACP + malcoa <==> coa + malACP,Membrane Lipid Metabolism,EC-2.3.1.39,,,,
C160SN,Fatty acid biosynthesis (n-C16:0),[c]actACP + (20) h + (6) malACP + (14) nadph --> (6) ACP + (6) co2 + (7) h2o + (14) nadp + palmACP,Membrane Lipid Metabolism,,"44,132",,,
KAS16,3-hydroxy-myristoyl-ACP synthesis,[c]ddcaACP + (2) h + malACP + nadph --> 3hmrsACP + ACP + co2 + nadp,Membrane Lipid Metabolism,,,,,
C181SN,Fatty acid biosynthesis (n-C18:1),[c]actACP + (22) h + (7) malACP + (15) nadph --> (7) ACP + (7) co2 + (8) h2o + (15) nadp + octeACP,Membrane Lipid Metabolism,,"44,135",,,
C141SN,Fatty acid biosynthesis (n-C14:1),[c]actACP + (16) h + (5) malACP + (11) nadph --> (5) ACP + (5) co2 + (6) h2o + (11) nadp + tdeACP,Membrane Lipid Metabolism,,"44,133",,,
KAS15,b-ketoacyl synthase,[c]accoa + h + malACP --> actACP + co2 + coa,Membrane Lipid Metabolism,,,,,
ACOATA,Acetyl-CoA ACP transacylase,[c]ACP + accoa <==> acACP + coa,Membrane Lipid Metabolism,EC-2.3.1.38,,,,
C161SN,Fatty acid biosynthesis (n-C16:1),[c]actACP + (19) h + (6) malACP + (13) nadph --> (6) ACP + (6) co2 + (7) h2o + hdeACP + (13) nadp,Membrane Lipid Metabolism,,"44,134",,,
FAO2,Fatty acid oxidation (n-C16:0),[c]atp + (8) coa + (7) fad + (7) h2o + hdca + (7) nad --> (8) accoa + amp + (7) fadh2 + (7) h + (7) nadh + ppi,Membrane Lipid Metabolism,,16,,,
FAO1,Fatty acid oxidation (tetradecanoate),[c]atp + (7) coa + (6) fad + (6) h2o + (6) nad + ttdca --> (7) accoa + amp + (6) fadh2 + (6) h + (6) nadh + ppi,Membrane Lipid Metabolism,,16,,,
FAO3,Fatty acid oxidation (octadecanoate),[c]atp + (9) coa + (8) fad + (8) h2o + (8) nad + ocdca --> (9) accoa + amp + (8) fadh2 + (8) h + (8) nadh + ppi,Membrane Lipid Metabolism,,16,,,
PGPP_EC,Phosphatidylglycerol phosphate phosphatase (Ecoli),[c]h2o + (0.02) pgp_EC --> (0.02) pg_EC + pi,Membrane Lipid Metabolism,EC-3.1.3.27,,,,
PGSA_EC,Phosphatidylglycerol synthase (Ecoli),[c](0.02) cdpdag1 + glyc3p <==> cmp + h + (0.02) pgp_EC,Membrane Lipid Metabolism,EC-2.7.8.5,,,,
PASYN_EC,Phosphatidic acid synthase (Ecoli),[c]glyc3p + (0.14) hdeACP + (0.04) myrsACP + octeACP + (0.72) palmACP + (0.1) tdeACP --> (2) ACP + (0.02) pa_EC,Membrane Lipid Metabolism,,,,,
PSD_EC,Phosphatidylserine decarboxylase (Ecoli),[c]h + (0.02) ps_EC --> co2 + (0.02) pe_EC,Membrane Lipid Metabolism,EC-4.1.1.65,,,,
PSSA_EC,Phosphatidylserine syntase (Ecoli),[c](0.02) cdpdag1 + ser-L <==> cmp + h + (0.02) ps_EC,Membrane Lipid Metabolism,EC-2.7.8.8,,,,
AHC,adenosylhomocysteinase,[c]ahcys + h2o <==> adn + hcys-L,Methionine Metabolism,EC-3.3.1.1,115,,,
DHPTDC,"4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)",[c]dhptd --> h2o + hmfurn,Methionine Metabolism,,"97,115",,,
RHCCE,S-ribosylhomocysteine cleavage enzyme,[c]rhcys --> dhptd + hcys-L,Methionine Metabolism,,"97,115",,,
HSST,homoserine O-succinyltransferase,[c]hom-L + succoa --> coa + suchms,Methionine Metabolism,EC-2.3.1.46,,,,
SHSL1,O-succinylhomoserine lyase (L-cysteine),[c]cys-L + suchms --> cyst-L + h + succ,Methionine Metabolism,EC-4.2.99.9,,,,
CYSTL,cystathionine b-lyase,[c]cyst-L + h2o --> hcys-L + nh4 + pyr,Methionine Metabolism,EC-4.4.1.8,,,,
METS,methionine synthase,[c]5mthf + hcys-L --> met-L + thf,Methionine Metabolism,EC-2.1.1.13,,,,
METAT,methionine adenosyltransferase,[c]atp + h2o + met-L --> amet + pi + ppi,Methionine Metabolism,EC-2.5.1.6,,,,
AHCYSNS,S-adenosylhomocysteine nucleosidase,[c]ahcys + h2o --> ade + rhcys,Methionine Metabolism,EC-3.2.2.9,"21,115",,,
LGTHL,lactoylglutathione lyase,[c]gthrd + mthgxl --> lgt-S,Methylglyoxal Metabolism,EC-4.4.1.5,"19,58",,,
GLYOX,hydroxyacylglutathione hydrolase,[c]h2o + lgt-S --> gthrd + h + lac-D,Methylglyoxal Metabolism,EC-3.1.2.6,"19,58",,,
MGSA,methylglyoxal synthase,[c]dhap --> mthgxl + pi,Methylglyoxal Metabolism,EC-4.2.3.3,"58,108",,,
UGLYCH,Ureidoglycolate hydrolase,[c](2) h + h2o + urdglyc --> co2 + glx + (2) nh4,Nitrogen,EC-3.5.3.19,22,,,
ALLTN,allantoinase,[c]alltn + h2o --> alltt + h,Nitrogen,EC-3.5.2.5,22,,,
ALLTAH,Allantoate amidohydrolase,[c]alltt + h2o --> urdglyc + urea,Nitrogen,EC-3.5.3.4,22,,,
CYNTAH,Cyanate aminohydrolase,[c]cynt + (3) h + hco3 --> (2) co2 + nh4,Nitrogen,,40,,,
CMPN,CMP nucleosidase,[c]cmp + h2o --> csn + r5p,Nucleotide Salvage Pathways,EC-3.2.2.10,,,,
ADA,Adenosine deaminase,[c]adn + h + h2o --> ins + nh4,Nucleotide Salvage Pathways,EC-3.5.4.4,,,,
DADA,Deoxyadenosine deaminase,[c]dad-2 + h + h2o --> din + nh4,Nucleotide Salvage Pathways,,,,,
ADNK1,adenosine kinase,[c]adn + atp --> adp + amp + h,Nucleotide Salvage Pathways,EC-2.7.1.20,,,,
ADK1,adenylate kinase,[c]amp + atp <==> (2) adp,Nucleotide Salvage Pathways,EC-2.7.4.3,,,,
DADK,deoxyadenylate kinase,[c]atp + damp <==> adp + dadp,Nucleotide Salvage Pathways,EC-2.7.4.11,,,,
ADK4,adentylate kinase (ITP),[c]amp + itp <==> adp + idp,Nucleotide Salvage Pathways,,,,,
ADK3,adentylate kinase (GTP),[c]amp + gtp <==> adp + gdp,Nucleotide Salvage Pathways,,,,,
AMPN,AMP nucleosidase,[c]amp + h2o --> ade + r5p,Nucleotide Salvage Pathways,EC-3.2.2.4,,,,
AP4AH,Ap4A hydrolase,[c]ap4a + h2o --> (2) adp + (2) h,Nucleotide Salvage Pathways,EC-3.6.1.41,41,,,
GP4GH,Gp4G hydrolase,[c]gp4g + h2o --> (2) gdp + (2) h,Nucleotide Salvage Pathways,,41,,,
AP5AH,Ap5A hydrolase,[c]ap5a + h2o --> adp + atp + (2) h,Nucleotide Salvage Pathways,,41,,,
ADPT,adenine phosphoribosyltransferase,[c]ade + prpp --> amp + ppi,Nucleotide Salvage Pathways,EC-2.4.2.7,,,,
CYTD,cytidine deaminase,[c]cytd + h + h2o --> nh4 + uri,Nucleotide Salvage Pathways,EC-3.5.4.5,,,,
DCYTD,deoxycytidine deaminase,[c]dcyt + h + h2o --> duri + nh4,Nucleotide Salvage Pathways,EC-3.5.4.14,,,,
CYTK2,cytidylate kinase (dCMP),[c]atp + dcmp <==> adp + dcdp,Nucleotide Salvage Pathways,EC-2.7.4.14,,,,
CYTK1,cytidylate kinase (CMP),[c]atp + cmp <==> adp + cdp,Nucleotide Salvage Pathways,EC-2.7.4.14,,,,
UMPK,UMP kinase,[c]atp + ump <==> adp + udp,Nucleotide Salvage Pathways,,,,,
CSND,Cytosine deaminase,[c]csn + h + h2o --> nh4 + ura,Nucleotide Salvage Pathways,EC-3.5.4.1,,,,
ADNCYC,adenylate cyclase,[c]atp --> camp + ppi,Nucleotide Salvage Pathways,EC-4.6.1.1,58,,,
