Abbreviation,KEGG ID
Gentamicin C1a,C00908
Gentamicin C2,C02033
Gentamicin C2b,C17706
Gentamicin X2,C17702
Gentamicin sulfate,C11334
Gentiacaulein,C10064
Gentianadine,C09957
Gentianaine,C09960
Gentianamine,C09961
Gentianine,C06525
Gentianose,C08239
Gentiobiose,C08240
Gentiobiosyl-caldarchaeol,C13874
Gentiodelphin,C08641
Gentioflavine,C09962
Gentiopicrin,C09782
Gentisate,C00628
Gentisate aldehyde,C05585
Gentisein,C10065
Gentisin,C10066
Gentisyl alcohol,C10792
Geosmin,C16286
Gepefrine,C11776
Geraldone,C10047
Geranial,C01499
Geranic acid,C16461
Geraniin,C10230
Geraniol,C01500
Geranoyl-CoA,C01920
Geranyl acetate,C09861
Geranyl formate,C12294
Geranylbenzoquinone,C10351
Geranylgeraniol,C09094
Geranylhy droquinone,C10793
Germacradienol,C16143
Germacrene B,C09672
Germacrone,C16966
Germanium,C15472
Germine,C10807
Gerrardine,C10147
Ghrelin,C16025
Gibberellin,C01699
Gibberellin 1,C00859
Gibberellin 19,C02034
Gibberellin 2-O-beta-D-glucoside,C04070
Gibberellin 20,C02035
Gibberellin 44,C12308
Gibberellin A12,C11857
Gibberellin A12 aldehyde,C06093
Gibberellin A14,C11858
Gibberellin A14 aldehyde,C11853
Gibberellin A15,C14162
Gibberellin A15 open lactone,C11860
Gibberellin A24,C11861
Gibberellin A29,C06096
Gibberellin A29-catabolite,C11855
Gibberellin A34,C11868
Gibberellin A34-catabolite,C11869
Gibberellin A36,C11862
Gibberellin A37,C14161
Gibberellin A37 open lactone,C11859
Gibberellin A4,C11864
Gibberellin A44 diacid,C06095
Gibberellin A5,C11871
Gibberellin A51,C11865
Gibberellin A51-catabolite,C11854
Gibberellin A53,C06094
Gibberellin A53 aldehyde,C11905
Gibberellin A6,C11856
Gibberellin A7,C11867
Gibberellin A8,C03579
Gibberellin A8-catabolite,C11870
Gibberellin A9,C11863
Giganin,C08488
Gigantine,C09445
Gingerenone A,C10460
Ginkgetin,C10048
Ginkgoic acid,C10794
Ginkgolide A,C07601
Ginkgolide B,C07602
Ginkgolide M,C16816
Ginnol,C08385
Ginnone,C08386
Ginsenoside Re,C08944
Ginsenoside Rf,C08945
Girgensonine,C10148
Gitogenin,C08899
Gitonin,C08900
Gitoxin,C08866
Gla protein,C06246
Gla protein precursor,C06247
Glabranin,C09752
Glabric acid,C17764
Glabridin,C10421
Glaucarubin,C08760
Glaucarubinone,C08763
Glaucarubolone,C08764
Glaucine,C09446
Glaucolide A,C09463
Glaucolide B,C09465
Glaziovine,C09457
GlcMan9(GlcNAc)2,C02409
Glcalpha1->2Glcalpha1->3acyl2Gro,C06365
Glechomanolide,C09466
Glepidotin A,C10049
Glepidotin B,C09753
Glepidotin C,C10259
Glicentin,C16050
Glimepiride,C07669
Glitoxin,C10595
Globin,C06258
Globomycin,C01700
Globoside,C03272
Globotetraosylceramide,C11385
Glu-Glu,C01425
Glucagon,C01501
Glucagon hydrochloride,C13651
Glucagon-like peptide 1,C16048
Glucagon-like peptide 2,C16049
Glucarate,C00767
Glucoalyssin,C08400
Glucoarabin,C17272
Glucoaubrietin,C17273
Glucobarbarin,C17274
Glucoberteroin,C08401
Glucobrassicanapin,C08403
Glucobrassicin,C05837
Glucocapparin,C08404
Glucocerebroside,C01190
Glucocheirolin,C08405
Glucocleomin,C08406
Glucocochlearin,C08407
Glucoconringiin,C08408
Glucoerucin,C08409
Glucoerysolin,C08410
Glucofrangulin A,C16802
Glucofrangulin B,C16803
Glucohirsutin,C17271
Glucoiberin,C08411
Glucoiberverin,C08412
Glucolepidiin,C08413
Glucolesquerellin,C17250
Glucolimnanthin,C08414
Glucomannan,C01810
Glucomannan longer by one mannose unit,C02101
Gluconapin,C08415
Gluconapoleiferin,C08416
Gluconasturtiin,C08417
Glucoputranjivin,C08418
Glucoraphanin,C08419
Glucoraphenin,C08420
Glucosaminate,C03752
Glucosinolate,C17260
Glucosisymbrin,C17275
Glucosyl-limonin,C06740
Glucosylated DNA,C02410
Glucosylated glycogenin,C03399
Glucosyloxyanthraquinone,C03503
Glucotropeolin,C02153
Glucuronide,C03033
Glucuronoarabinoxylan,C03119
Glucuronosylestradiol,C11237
Glucuronoxylan,C03866
Glutaconic acid,C02214
Glutaral,C12518
Glutaredoxin,C07292
Glutarimide,C07275
Glutathione episulfonium ion,C14874
Glutathionylaminopropylcadaverine,C16566
Glutathionylspermine,C16562
Glutethimide,C07489
Glutinone,C16967
Glutinosone,C09673
Glyburide,C07022
Glycan,C00420
"Glycano-1,3-(N-acetyl-alpha-D-galactosaminyl)-glycoprotein",C04788
Glyceocarpin,C15509
Glyceollin,C15601|C01701
Glyceollin III,C15511
Glyceride,C01885
Glyceroglycolipid,C05970
"Glycerol 1,2-cyclic phosphate",C03947
Glycerol monoester,C02688
Glycerone sulfate,C02543
Glycerophosphodiester,C03120
Glycerophosphoglycoglycerolipid,C06041
Glycerose,C02154
Glycidol,C10920
Glycinoeclepin A,C08765
Glycitein,C14536
Glycitin,C16195
Glycobismine A,C10685
Glycochenodeoxycholate,C05466
Glycochenodeoxycholate 7-sulfate,C15559
Glycocholate,C01921
Glycocyamine,C00581
Glycodeoxycholate,C05464
Glycogen amylopectin chain(n),C05735
Glycogen amylose chain,C05734
"Glycogen amylose chain(n)-1,6-amylose chain(4)",C05742
"Glycogen amylose chain-1,6-alpha-D-glucose",C05743
Glycogen synthase,C02544
Glycogenin,C01702
Glycol,C15588
Glycolipid,C05005
Glycolipid(non-reducing N- or O-acylneuraminyl residue),C04765
Glycolithocholate,C15557
Glycolyl-D-mannosamine,C03521
Glycolyl-D-mannosaminolactone,C03948
Glycopeptide,C00528
Glycopeptidelipid,C15829
Glycoperine,C10686
Glycophymoline,C10687
Glycoprotein,C00326
Glycoprotein 6-(D-glucose-1-phospho)-D-mannose,C04645
Glycoprotein D-mannose,C03268
Glycoprotein N-acetyl-D-glucosaminyl-phospho-D-mannose,C04755
Glycoprotein inositol,C03121
Glycoprotein phosphatidylinositol,C04195
Glycoprotein phospho-D-mannose,C04010
Glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine,C11572
Glycoprotein(non-reducing N- or O-acylneuraminyl residue),C04781
Glycosaminoglycan,C02545
Glycoside of aldohexose,C03400
Glycosminine,C10688
Glycosphingolipid,C02690
"Glycosyl-4,4'-diaponeurosporenoate",C16147
Glycosyl-N-acylsphingosine,C03701
Glycyl amino acid,C02546
Glycyl-leucine,C02155
Glycyphyllin,C09754
Glycyrol,C16968
Glycyrrhizin,C02284
Glyoxal,C14448
Glyphosate,C01705
GnRH-I,C16083
GnRH-II,C16084
Gnetin A,C10260
Gnidicin,C09095
Gnididilatin,C09101
Gnididin,C09096
Gniditrin,C09102
Goitrin,C16817
Goltix,C10930
Gomphrenin-I,C08544
Gomphrenin-V,C08547
Gonadorelin,C07607
Goniothalenol,C09930
Gonyautoxin 1,C16855
Gonyautoxin 2,C16856
Gossypetin 8-rhamnoside,C10050
Gossypin,C10051
Gossypol,C07667
Goyazensolide,C09467
Gracillin,C08901
Gradolide,C09468
Gramicidin A,C15830
Gramicidin S,C11218
Gramine,C08304
Graminiliatrin,C09469
Granaticin,C06799
Grandidentatin,C10463
Grandisin,C10622
Granilin,C09470
Granisetron,C07023
Granuliberin R,C15912
Grasan Chrysoidine,C14617
Gratiogenin,C08808
Graveoline,C10689
Grayanotoxin I,C09103
Greenwald ester,C03339
Grepafloxacin,C11368
Grepafloxacin glucuronide,C11597
Grevillol,C10800
Griseofulvin,C06686
Griseorhodin A,C12048
Grosshemin,C09472
Gsh-prostaglandin A1,C11367
Guaiacol,C01502|C15572
Guaiacyl lignin,C15805
Guaiazulene,C09675
Guaiol,C09676
Guanabenz,C07034
Guanadrel,C07035
Guanethidine,C07036
Guanfacine,C07037
Guanidinoethyl methyl phosphate,C04071
Guanylin,C16007
Guattegaumerine,C06511
Guazatine,C10997
Guibourtinidol-(4alpha->6)-catechin,C10231
Gulonate,C00800
"Gulono-1,4-lactone",C05410
Gum arabic,C08822
Gum ghatti,C08824
Gum karaya,C08826
Guvacine,C10149
Guvacoline,C16821
Gymnemic acid I,C08947
Gynesine,C01004
Gynocardin,C08331
Gypenoside XXV,C08949
Gypsogenin,C08950
Gypsogenin 3-O-rhamnosylglucuronide,C08952
Gypsum,C13194
Gyrocarpine,C09458
Gyromitrin,C08305
H37,C13767
HA Peptide,C15913
HBA,C11109
HBOA,C15769
HBr,C01324|C13645
HC-toxin,C15676
HCBD,C11091
HEMA,C14530
HFA,C06108
HI,C05590
HLo7,C07596
HMF,C11101
HMMF,C11488
HMR1556,C13778
HMT-toxin,C16784
HNG,C11104
HOE-252,C01426
HOG,C11102
HPTE,C14136
HR 780,C11699
HR 810,C11199
HR1917,C15343
HS,C11105
HX,C00462
Hachimycin,C13789
Haemanthamine,C08527
Haematoxylin,C09931
Haemocorin,C09932
Haemulcholate,C17668
Halfordinol,C10596
Halichondrin B,C16791
Halistanol sulfate,C17159
Hallactone A,C09104
Hallactone B,C09105
Haloacetate,C01812
Haloalcohol,C01813
Haloalkene,C01706
Haloaromatic compound,C03122
Halofantrine,C07634
Haloperidol,C01814
Halothane,C07515
Haloxyfop methyl,C11031
Halstoctacosanolide A,C15766
Hamamelose,C08351
Hamaudol,C17483
Hamayne,C12164
Haplodimerine,C10691
Haplophyllidine,C10692
Haplophytine,C09208
Haplopine,C10694
Harmaline,C06536
Harmalol,C06537
Harman,C09209
Harmine,C06538
Harpagoside,C09783
Harringtonine,C10597
Harrisonin,C08766
Harzianopyridone,C10150
Hasubanonine,C09459
Hatomasterol,C14160
Heavenly blue anthocyanin,C08642
Heavy metal,C01815
Heavy metal ion,C02285
Hecogenin,C08902
Hedamycin,C15759
Helenalin,C09473
Helenien,C08597
Heliamine,C09460
Heliangin,C09474
Helianthoside A,C08956
Heliettin,C09267
Heliosupine,C10319
Heliotridine,C10321
Heliotrine,C10324
Hellebrigenin,C16969
Hellebrigenin 3-acetate,C08867
Hellebrin,C08868
Hellicoside,C10466
Helminthosporal,C09677
Helminthosporol,C09678
Helminthosporoside A,C09679
Helospectin I,C15916
Helospectin II,C15918
Helveticoside,C08869
Hemanthidine,C12174
Heme-thiolate(P-450),C05009
Hemiacetal,C01707
Hemigossypol,C09680
Hemimellitene,C14518
Hemine,C06767
Hemoglobin,C01708
Hentriacontane,C08376
"Hentriacontane-14,16-dione",C08377
Heparamine,C02440
Heparan sulfate,C00925
Heparan sulfate N-acetyl-alpha-D-glucosaminide,C04649
Heparan sulfate alpha-D-glucosaminide,C04384
Heparin,C00374
Heparin binding peptide,C15920
Heparin-glucosamine,C02834
Heparin-glucosamine 3-O-sulfate,C04072
Heparosan-N-sulfate D-glucuronate,C04196
Heparosan-N-sulfate L-iduronate,C04073
Hepoxilin A3,C14808|C04849
Hepoxilin B3,C14810
Heptabarbital,C17725
Heptachlor,C14185
Heptachlor epoxide,C14327
Heptadecane,C01816
Heptadecatrienal,C16343
Heptadecatrienoic acid,C16344
Heptopyranosides,C02413
Heptylparaben,C14718
Herbimycin,C11225
Hercynine,C05575
Heritonin,C09936
Hernandezine,C09461
Hernandulcin,C09681
Herniarin,C09268
Heroin,C06534
Hesperetin,C01709
Hesperetin 7-O-glucoside,C16422
Hetacillin,C11729
Hetacillin potassium,C13980
Heteratisine,C08686
Heterocodeine,C11779
Heterodendrin,C08332
Heteroglycan,C01923
Heteropyrithiamine,C02691
Hetisine,C08687
Hexachlorobenzene,C11042
Hexachlorophene,C08039
Hexadecasphinganine,C13915
Hexadecenal,C06123
Hexahomomethionine,C17233
Hexahydrobenzoic acid,C09822
Hexahydrocurcumin,C17826
Hexalin,C00854
Hexamethonium,C07510
Hexane,C11271
Hexazinone,C10926
Hexestrol monomethyl ether,C15454
Hexobarbital,C11723
Hexocyclium,C07811
Hexose 1-phosphate,C01002
"Hexose-1,5-lactone",C02692
Hexylamine,C08306
Hexylcaine,C14172
Hg,C01319
Hibiscoquinone A,C10352
High-mannose glycopeptide containing -{Man(GlcNAc)2}Asn-,C04777
High-mannose oligosaccharide,C03867
Higher fatty acid,C00638
Hildecarpin,C10424
Himachalol,C09682
Himbacine,C10598
Hinesol,C16970
Hinokiflavone,C10057
Hinokinin,C10627
Hinokitiol,C09904
Hinokitiol glucoside,C15451
Hippeastrine,C08528
Hircinol,C10261
Hirsuteine,C16971
Hirsutic acid C,C09683
Hirsutidin,C08643
Hirsutine,C16972
His-Leu,C05010
Hispaglabridin A,C10425
Hispidol,C08644
Histatin 5,C15921
Histoacryl,C13415
Histone,C01429
Histone N6-methyl-L-lysine,C03702
Histone-L-lysine,C02415
Histone-N(omega)-methylarginine,C05320
Histone-arginine,C05206
Histrelin,C07671
Histrionicotoxin,C13683
Hiyodorilactone A,C09475
Hodgkinsine,C09211
Hoe 33342,C11189
Hoe 933,C10757
Holo-Lys2,C11482
Holo-[acetyl-CoA carboxylase],C04681
Holo-[methylcrotonoyl-CoA-carboxylase],C04801
Holo-[methylmalonyl-CoA-carboxyltransferase],C04682
Holo-[propionyl-CoA-carboxylase (ATP-hydrolysing)],C04727
Holothurin,C17025
Homaline,C10599
Homatropine,C07814
Homidium bromide,C11161
Homoamino acid,C17266
Homoarginine,C01924
Homobaldrinal,C16812
Homocarnosine,C00884
Homocystine,C01817
Homoeriodictyol,C09756
Homoeriodictyol chalcone,C16405
Homoferreirin,C10457
Homomethionine,C17213
Homostachydrine,C08283
Homotrypanothione,C16567
Homotrypanothione disulfide,C16568
Homovanillate,C05582
Honokiol,C10630
Hopane-29-acetate,C08627
Hopanoid,C06084
Hordatine A,C08307
Hordatine B,C08308
Hordenine,C06199
Horhammericine,C11677
Human IgA,C01587
Humilixanthin,C08548
Humulene,C09684
Humulone,C10695
Huperzine B,C09866
Huratoxin,C09108
Hyaluronate,C00518
Hydantoin,C05146
Hydantoin-propionate,C05565
Hydnocarpic acid,C16795
Hydracrylic acid,C01013
Hydralazine,C07040
Hydrangenol,C10262
Hydrazine,C05361
Hydrocodone,C08024
Hydrocortisone caproate,C13422
Hydrocortisone cypionate,C08176
Hydrocortisone probutate,C13358
Hydrocortisone sodium succinate,C08178
Hydrocotarnine hydrochloride,C13534
Hydroflumethiazide,C07763
Hydromorphone,C07042
Hydroquinidine,C10696
Hydroxamate,C06443
Hydroxy-gamma-sanshool,C17827
Hydroxyaldehyde,C06461
Hydroxyanthraquinone,C02980
Hydroxybenzoquinone,C07103
Hydroxychlorobactene,C15911
Hydroxychlorobactene glucoside,C15914
Hydroxychlorobactene glucoside ester,C15917
Hydroxychloroquine,C07043
Hydroxycinnamoyl-CoA,C06362
Hydroxycobalamin,C08230
Hydroxyflutamide,C14204
Hydroxyindole,C02040
Hydroxyisopatchoulenone,C09686
Hydroxyl radical,C16844
Hydroxylamine,C00192
Hydroxylamine hydrochloride,C11598
Hydroxylinuron,C15250
Hydroxymethylphosphonate,C06455
Hydroxypro-Xaa,C02158
Hydroxypyruvaldehyde phosphate,C16849
Hydroxyquinol,C02814
Hydroxysanguinarine,C12222
Hydroxyspheroidene,C15902
Hydroxyspheroidenone,C15905
Hydroxyspirilloxanthin,C15879
Hydroxystenozole,C15033
Hydroxysteroid,C02159
Hydroxytamoxifen,C05011
Hydroxyurea,C07044
Hydroxyvernolide,C09477
Hydroxyzine,C07045
Hygrine,C11359|C06179
Hygromycin A,C17579
Hygromycin B,C01925
Hymatoxin A,C09109
Hymecromone,C03081
Hymenocardine,C10004
Hymenoflorin,C09480
Hymenolin,C09481
Hymenoxon,C09482
Hymexazol,C11103
Hyocholate,C17649
Hyodeoxycholate,C15517
Hypaconitine,C08688
Hypercalin B,C09941
Hyperforin,C07608
Hypericin,C07606
Hyperin,C10073
Hypoglycine B,C08280
Hypolaetin,C10078
Hyponitrite,C01818
Hypotaurine,C00519
Hypotaurocyamine,C02419
Hypoxylone,C10355
I-,C00708
I-123 BMIPP,C13426
I-Urobilin,C05794
I2,C01382
IAA-94,C13703
IAARh123,C11599
IACI,C11600
IBMX,C13708
IBP,C15230
ICI 164384,C14758
II2Xylbeta-Ml4Cer,C13921
INF271,C11163
ITOPA,C10951
Ibogaine,C09214
Ibogamine,C09215
Ibotenic acid,C10600
Ibuprofen,C01588
Ibutilide,C07753
Icaceine,C08689
Icacine,C08690
Icariin,C17555
Ichangin,C08768
Ichthyotherol,C08452
Icosadienoic acid,C16525
Icosanoyl-CoA,C02041
Icosenoic acid,C16526
Icosenoyl-CoA,C16530
IdB 1027,C05905
Idanpramine,C17728
Idazoxan,C10968
Ifosfamide,C07047
Ilexolide A,C08957
Illudin M,C09687
Illudin S,C09688
Imazalil nitrate,C11219
Imazaquin,C05076
Imetit,C17931
Imidacloprid,C11110
Imidazole,C01589
Imidazole lactate,C05568
Imidazole pyruvate,C03277
Imidazole-4-methanol,C05562
Imidazolone,C06195
Imidazolone acetate,C05133
Imide,C10972
Iminoerythrose 4-phosphate,C12215
Iminoglycine,C15809
Imipenem,C06665
Imipramine,C07049
Imipramine hydrochloride,C07982
Immepip,C17932
Immunoglobulin A,C00953
Immunoglobulin G glycopeptide,C03949
Imperatorin,C09269
Inabenfide,C10942
Inactivated anaphylatoxin,C03613
Inactivated bradykinin,C03278
Indaconitine,C08691
Indan-1-ol,C01710
Indanestrol,C14738
Indanone,C01504
Indeloxazine,C10918
Indican,C08481
Indicaxanthin,C08549
Indicine,C10326
Indicumenone,C17612
Indinavir,C07051
Indinavir sulfate,C08089
Indol-3-ylacetyl-myo-inositol L-arabinoside,C04611
Indole alkaloid,C06073
Indole propanol phosphate,C04229
Indole-3-acetaldoxime N-oxide,C17204
Indole-3-acetyl-beta-1-D-glucoside,C04197
Indole-3-acetyl-myo-inositol,C03868
Indole-3-carbaldehyde,C08493
"Indole-5,6-quinone",C05579
Indoleamine,C01819
Indolebutyric acid,C11284
Indolelactate,C02043
Indolicidin,C15922
Indolin-2-one,C12312
Indolylmethyl-desulfoglucosinolate,C16517
Indolylmethylthiohydroximate,C16516
Indometacin,C01926
Indoxyl,C05658
Ineketone,C09110
Inflexin,C09111
Ingenol,C09112
"Ingenol 3,20-dibenzoate",C09113
Inhibitor of serine endopeptidase,C04198
Inokosterone,C08819
Inosine 5'-tetraphosphate,C03614
Inosine-5'-carboxylate,C03280
"Inositol 1,2,3,5,6-pentakisphosphate",C04579
"Inositol 1,2,4,5,6-pentakisphosphate",C04563
"Inositol 1,3,4,6-tetrakisphosphate",C04477
"Inositol 1,3,4-trisphosphate",C01243
"Inositol 1,3-bisphosphate",C04062
"Inositol 1,4-bisphosphate",C01220
"Inositol 3,4,5,6-tetrakisphosphate",C04520
"Inositol 3,4-bisphosphate",C04063
Insulin,C00723
Insulin-like 3,C16124
Insulin-like growth factor I,C16131
Insulin-like growth factor II,C16132
Insulin-like peptide 5,C16178
Integerrenine,C10005
Integerressine,C10006
Integerrimine,C10328
Integerrine,C10007
Interferon alfa-2a,C07900
Interferon beta-1b,C07901
Interferon gamma-1b,C07902
Intermedine,C10330
Inulicin,C09483
Inulin,C03323
Inuline,C08659
Inulobiose,C01711
Inumakilactone A glycoside,C09114
Inundatine,C09867
Iodine aqueous,C08040
Iodopsin,C05917
Iodoquinol,C07636
Iopanoic acid,C08217
Ipecoside,C09464
Ipolamiide,C09784
Ipratropium,C07052
Iproniazid,C11777
Irbesartan,C07469
Irehine,C10810
Iresinin I,C08550
Irgarol 1051,C10927
Iridin,C10465
Iridodial,C06069
Iridodial glucoside,C11670
Iridodial glucoside tetraacetate,C11657
Iridomyrmecin,C09786
Iridotrial,C06070
Iridotrial glucoside,C11653
Irigenin,C17957
Irilone,C10467
Irinotecan,C16641
Irisflorentin,C17958
Irisolidone,C10471
Irisxanthone,C10067
Iron chelate,C06704
Iron-sulfur,C00824
Isatidine,C10333
Isatin,C11129
Islandicin,C16796
Ismine,C12181
Isoajmaline,C09217
Isoalangiside,C11815
Isoalantolactone,C09484
Isoamyl formate,C12293
Isoamyl isovalerate,C12289
Isoamylamine,C02640
Isoandrocymbine,C16708
Isoandrololactone,C15136
Isoarborinol,C16973
Isoathyriol,C10069
Isobarbaloin,C17778
Isobatatasin I,C10265
Isobavachalcone,C08648
Isobergapten,C18082
Isobergaptol,C18084
Isobetanin,C08551
Isoboldine,C09541
Isobrucein A,C08769
Isobrucein B,C08770
Isobutrin,C08649
Isobutylamine,C02787
Isobutylphendienamide,C10944
Isobutylshikonin,C17414
Isobutyraldehyde oxime,C03219
Isobutyrate,C02632
Isobutyronitrile,C02420
Isobutyrylmallotochromene,C09009
Isobyakangelicol,C16914
Isocaespitol,C17112
Isocaryophyllene,C09691
Isochamaejasmin,C09758
Isochenodeoxycholate,C17660
Isochlorogenic acid b,C10468
Isochondrodendrine,C09543
Isoclavulanic acid,C11833
Isococculidine,C09546
Isocolumbin,C17508
Isocorydine,C09549
Isocorypalmine,C04118
Isocyperol,C16974
Isodehydrocostus lactone,C17913
Isodeoxycholate,C17661
Isodictamnine,C10697
Isodiospyrin,C10358
Isodomedin,C09115
Isodonal,C09117
Isoelemicin,C16975
Isoetharine,C07053
Isoetin,C10079
Isoeugenol,C10469
Isofebrifugine,C10698
Isofenphos,C11002
Isoferulic acid,C10470
Isoficine,C10601
Isoflavanone,C01927
Isoflavone,C00799
Isoflavone 7-O-beta-D-glucoside,C04074
Isoflupredone,C14484
Isoflurane,C07518
Isoflurophate,C00202
Isoformononetin,C12125
Isofraxidin,C17480
Isofucosterol,C08821
Isogentisin,C10070
Isoglutamate,C05574
Isoglutamine,C16673
Isoguvacine,C13694
Isohelenol,C09485
Isohexanal,C02373
Isohexenyl-glutaconyl-CoA,C01291
Isoimide,C10971
Isoimperatorin,C16976
Isokobusone,C16977
Isolichenin,C01820
Isoliquiritigenin,C08650
Isoliquiritin,C16978
Isolithocholate,C17658
Isolobinine,C10153
Isolycopsamine,C10336
Isomaltosaccharide,C02695
Isomaltotriose,C02160
Isomangiferin,C16979
Isomatrine,C17442
Isometamidium chloride,C11201
Isomethyleugenol,C10478
Isomigrastatin,C15846
Isomontanolide,C09486
Isoniazid,C07054
Isoniazid alpha-ketoglutaric acid,C16625
Isoniazid pyruvate,C16624
Isonicotineamide,C02421
Isonicotinic acid,C07446
Isonicotinylglycine,C16623
Isonocardicin A,C00927
Isonocardicin C,C17352
Isoorientin,C01821
Isoorientin 2''-O-rhamnoside,C03870
Isopenicillin N,C05557
Isopentenyl adenosine,C16427
Isopentenyl-ADP,C16426
Isopentenyl-AMP,C04713
Isopentenyl-ATP,C16424
Isophenoxazine,C02161
Isophorone,C14743
Isophosphamide mustard,C16559
Isopimaric acid,C09118
Isopimpinellin,C02162
Isopiperitenone,C02289|C02485
Isoplumericin,C09787
Isoprene,C16521
Isopropamide,C07055
Isoprothiolane,C11111
Isoprothiolane sulfoxide,C11112
Isoproturon,C11005
Isopyridoxal,C06051
Isorenieratene,C15943
Isorhamnetin,C10084
Isorhapontin,C10266
Isorhodeose,C02522
Isorhynchophylline,C16980
Isosafrole,C10472
Isosakuranetin,C05334
Isosalipurpol,C06561
Isosamidin,C09270
Isoscoparin,C05990
Isoscopoletin,C18079
Isoscutellarein,C10097
Isoshinanolone,C12343
Isosilybin,C16808
Isosinomenine,C17899
Isosorbide dinitrate,C07456
Isosorbide mononitrate,C07714
Isoswertisin 2''-rhamnoside,C12629
Isotan B,C08494
Isotenulin,C09487
Isoterchebin,C10232
Isotetrandrine,C17060
Isothebaine,C09550
Isotrifoliin,C05623
Isoursodeoxycholate,C17662
Isouvaretin,C09759
Isovaleric acid,C08262
Isovaltrate,C16809
Isovelleral,C09692
Isovitexin,C01714
Isovitexin 2''-O-arabinoside,C16491
Isovitexin 2''-O-beta-D-glucoside,C04199
Isowillardiine,C08289
Isoxanthopterin,C03975
Isozaluzanin C,C17912
Istamycin A1,C17987
Istamycin A2,C17988
Istamycin A3,C17989
Istamycin AO,C17982
Istamycin AP,C17984
Istamycin B,C17991
Istamycin B0,C17990
Istamycin B1,C17992
Istamycin B3,C17993
Istamycin C,C17995
Istamycin C0,C17994
Istamycin C1,C17996
Istamycin FU-10,C17981
Istamycin KL1,C17983
Istamycin X0,C17986
Istamycin Y0,C17985
Iturin A,C12266
Ivalin,C09488
Ivermectin,C07970
JSTX-3,C13931
Jacareubin,C10074
Jacobine,C10339
Jadomycin B,C12395
Jamaicamide,C15826
Jamine,C10768
Japonine,C10699
Jasminine,C09985
Jasmolin I,C16780
Jasmolin II,C16781
Jasmonate,C08491
Jasmone,C08490
Jatrophatrione,C09119
Jatrophone,C09120
Jatrorrhizine,C09553
Jervine,C10811
Jesaconitine,C08692
Jionoside B1,C10473
Jodrellin A,C09121
Josamycin,C12662
Juglone,C03840
Juliflorine,C10154
Justicidin A,C10633
Justicidin B,C10636
Juvabione,C09693
Juvenile hormone III,C09694
Juvenile hormone III acid,C16504
KAO 264,C12948
KNI-272,C15655
KWG4168,C11124
Kad 1229,C13326
Kadsurenone,C10638
Kadsurin A,C10640
Kaempferide,C10098
Kaempferitrin,C16981
Kaempferol 3-O-[6-(4-coumaroyl)-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)- beta-D-glucoside],C12636
Kaempferol 3-O-beta-D-glucosylgalactoside,C16490
Kaempferol 3-O-glucoside,C12249
Kaempferol 3-sophorotrioside,C12635
Kainic acid,C12819
Kakuol,C16982
Kalbreclasine,C08529
Kallidin,C01505
Kallikrein,C01715
Kanamycin,C00304
Kanamycin 3'-phosphate,C03281
Kanamycin A,C01822
Kanamycin C,C01823
Kanamycin sulfate,C08046
Kandelin A-1,C10233
Kanokonol,C17427
Kanokoside A,C17428
Kanokoside B,C17429
Kanokoside C,C17430
Kanokoside D,C17431
Kanosamine,C12212
Kanosamine 6-phosphate,C12213
Kansuinine B,C09122
Karakin,C08495
Karakoline,C08693
Karounidiol,C17394
Karphos,C14580
Karwinaphthol B,C09942
Karwinskione,C09944
Kashmirine,C10808
Kassinin,C15873
Kasugamycin,C17968
Katacalcin,C15876
Kaurenal,C11873
Kaurenic acid,C11874
Kaurenol,C11872
Kavapyrone,C07611
Kawain,C09947
Kazinol A,C09760
Kemptide,C15875
Kepone,C01792
Keracyanin,C04491
Keratan,C00573
Keratin,C01431
Ketamine,C07525
Ketanserin,C07464
Ketoaldehyde,C01928
Ketobemidone,C11792
Ketoprofen,C01716
Ketorolac,C07062
Ketose,C01383
Ketosteroid,C06479
Khellin,C09010
Khelloside,C09011
Kievitone,C01590
Kievitone hydrate,C02549
Kigelinone,C10362
Kikkanol A,C17603
Kikkanol B,C17604
Kikkanol C,C17605
Kikkanol D,C17606
Kikkanol E,C17607
Kikkanol F,C17608
Killer toxin precursor,C03282
Kinamycin D,C12394
Kinetensin,C15872
Kinetin,C08272
Kininogen,C00769
Kinobscurinone,C12391
Kisspeptin-10,C16093
Kisspeptin-13,C16092
Kisspeptin-14,C16091
Kitasamycin,C14064
Kitasamycin tartrate,C13500
Kni 102,C15654
Knightinol,C10859
Knipholone,C10365
Kobusone,C16983
Kojic acid,C14516
Kokusaginine,C10701
Kolaflavanone,C09761
Kolanone,C09948
Korupensamine A,C12338
Kreysigine,C16714
Krm 1657,C14539
Kukoamine A,C17615
Kukoamine B,C17616
Kukoamine C,C17617
Kukoamine D,C17618
Kuraridinol,C17445
Kurarinol,C17444
Kurarinone,C17446
Kurchessine,C10813
Kuwanone G,C10099
Kuwanone H,C10100
Kynurenate,C01717
Kynurenine,C01718
Kyotorphin,C02993
L 735821,C13853
L-1-Lysophosphatidylethanolamine,C05973
"L-2,3-Diaminopropionate",C03401
L-2-Amino-4-(hydroxymethylphosphinyl)butanoate,C04650
L-2-Amino-4-chloropent-4-enoate,C04075
